10C 8C 9S 6S 3H 3S JD ,    Pair
JD JC 5S JH 4C 9H 6C ,    Pair
4D 5C 7C 5D KS QC KC ,    High Card
9S KD 7H KH AS AC 10C ,    Pair
5C 10D AH 7C 3S 10C 9C ,    High Card
7H QH JH JC AS 7S 9H ,    Pair
KH 4S QD KC AC 3C JS ,    High Card
6C 9S 8H 6H AD 2H 5H ,    High Card
JC 10H 4S AH 5C AD 6H ,    High Card
4H 3S 4C 7S JS 3C 8S ,    Pair
6S KS 2H 9D KH KD 2S ,    Pair
10C 9D 8H 5H AD AC JC ,    Pair
9H 7S KH 5C 2H 5S KD ,    High Card
8S 2C QH 6H 5D 7D 6S ,    High Card
10S QD 9C 7H 3H 4C QC ,    High Card
JC 3C 7C QC QS KD 9S ,    Flush
5C 9H 2C 5H QD 2D KS ,    High Card
JH 8C QH 3S AC 2H 9D ,    High Card
3D 8S AD QC 4C 2S 2D ,    High Card
9S 10C JD KH 7C 3C 7D ,    High Card
5S KS 6S JC 4H QS 10S ,    High Card
8H 10H AC KD AH 3S QD ,    High Card
6C 3S 10S 4H 6H JD 6S ,    High Card
10C JC QD JS 7C 5D 5H ,    High Card
KS 5C 10D QC 2S 7D 6D ,    High Card
10S 4H 4C 10H AC 6H QD ,    Pair
7D AS 7H 2C 6S 3S 9H ,    Pair
6C 2H 3H 4S JS 10C 4D ,    High Card
2S 3D QC 6D 8C 9S QH ,    High Card
QS QH KD 5H KS AS 6D ,    Pair
5D 8S 6H 10D JH 3H AC ,    High Card
JS QC 5C 9H 6C KC QD ,    High Card
7S 3C 4C 9H 9D 10C 5C ,    Pair
9C KC 9S 7C 5D 2D 7H ,    Pair
5S JS 8H AS 8S QD QC ,    High Card
KD QH KH 3D 7D 5H 6S ,    Pair
AC 5D 9D 2H 7S 7H QS ,    Pair
QC AH 4S KS 9C 8D 2C ,    High Card
8S AS 8H 9H 3D KH JD ,    Pair
5S AS KS 6D AD 2H 10D ,    High Card
8S 9S 8D 7C JC 7D 9H ,    Pair
JH 2D QH 2C AC 5H 4C ,    High Card
4D 9C QS AH 7H 3D 10H ,    High Card
4S 9C 3D 7S KH 8D 6C ,    High Card
2H 10H QS JH QH 4D 4C ,    High Card
3H 6H 3S 4H KC 8H 5H ,    Pair
10C 6C AD 6S AH JD 3C ,    High Card
2H 8S QD 6D 4S 3H 8D ,    High Card
5D 7S 2S 6S 7H 9C AD ,    High Card
KH KD 9D 7C 4C JS 8H ,    Pair
4D AC 10C 3S QH 10H 10S ,    High Card
10S 3H 10H 10D 4S QS 8C ,    High Card
JD 5C AD 8H 7C 7S 10C ,    Pair
5D KS 6D 2H 5S JH 8S ,    High Card
4H 5S 4C 7D 2D AD 3H ,    Pair
4D 8C JC 5H 2S 6C JS ,    High Card
KH 7S KC 10D 9H AH QD ,    Pair
AC 5D 10H 6H 3S JH QC ,    High Card
AH 3S 10S QC 8S 9C 8D ,    High Card
5H KS JD AD JH 6C JS ,    High Card
10D 7D QS KH JC QD 3D ,    High Card
KH AS 6D 3C AH 9C 3S ,    High Card
KC 7D 4D 2S QD AC 9D ,    High Card
6H 5D 10S 4S 2H 9S QS ,    High Card
8H 5C 5S JS QH JD 3D ,    Pair
6D KH AD 10H 5D AS 6S ,    High Card
8C 4C 2C 7H QS 6H AC ,    High Card
9H JH 3H 8S 2H 5H 3S ,    Flush
QD QC AD AC 7D JC 5C ,    Two Pair
9D 8S 4C 9S KD 4D 10S ,    High Card
3S 3C 6H 8H 5S 5H 6D ,    Two Pair
JS 10C 6C 2H JH 3H AS ,    High Card
4D KH KD KC 5D 5C 10D ,    Two Pair
AD 10C 7C 4S 9C 7S AC ,    High Card
2C 5S JD AS 6D 8C QC ,    High Card
9S 4D 5D 8H QS 10H AS ,    High Card
3H 8C KC AD 10D 6H KD ,    High Card
5H 6D 5S 9H QH 10S 5C ,    Pair
2H 2S 4H 9C KS 8D 7C ,    Pair
KC 5C QD 2C JD KD JC ,    High Card
QC 4S 2D AD 6H 4C 5D ,    High Card
10S 4H 5S 8S 7S 3D AH ,    High Card
10S QD 4H 2D 8S 4S 3S ,    High Card
6D JH 9C 10C 6C 10D KS ,    High Card
5D 3C 6H 7S JC 6S AS ,    High Card
8C 2C 5C 4C QS 5S 10H ,    Flush
4S 2H 2C QH KS 8H 7H ,    Pair
4H JC 6C 4C KC 10C 3D ,    High Card
QD 3C AD QS 6D 9D 3H ,    High Card
5S JS 2S 2C 7H JD 4H ,    Pair
8C 8D 9D 2D 7S AH 2H ,    Pair
9C KS AS 9S 5C 7C QD ,    High Card
QS 6S 10D 6C 3S QC AD ,    Pair
KD KS 9H 4S 5S 9C 2H ,    Pair
8H 10C 4C 4D 6H JC QS ,    Pair
JH JD 7C 9S 9D 10H 8S ,    Two Pair
7D 3C 4H QS JS AS 6S ,    High Card
4D AC 2C 6D 10H KS 8H ,    High Card
7H 10S 10D 4C 2D 6S 5S ,    High Card
JC AD 10C KC QH 8S 3H ,    High Card
JS 3S 9S KD 4S 6H 4H ,    High Card
10H AS 9D 2C 2H AC 4S ,    Pair
JC QC 10C KS 10S 10D 6C ,    High Card
5D 2D 9H QD AH 6S 4D ,    High Card
3D 9D 7D 8D KH 8S KC ,    Flush
5H 2D JS 4H 7C 7S JD ,    Pair
QC 4D KS 6S QD 6D 2S ,    High Card
8H QH 5D 2C 6C 5S 10D ,    High Card
KC JC 9C 2D AD QH 5C ,    High Card
9S 6S JD 6D 3H 10C 5H ,    High Card
5S 8S 2C JS 8H 10S 7H ,    High Card
8H 8S 6H QC 6C 10D 2D ,    Pair
JC 7C QD 4C 9S AS 9D ,    High Card
6D 7H 7S 2S 5D KS JS ,    Pair
9C 4D 3H 5H JH 6S JD ,    High Card
6C 7C 2S 10S JH JD QC ,    Pair
3D 6H 2D AD 5C 6D 10D ,    High Card
QS 2H 4D KS KH 8S 4H ,    Pair
9S 7H 6S 3H 10C QH KC ,    High Card
4C 7S 8D 5H 10D AC 3D ,    High Card
9C 10S KH KD 9H 4D 5C ,    Pair
QD 7D 2S QC 9D JH 5S ,    High Card
7S 6S QD 5C 4S 6D AD ,    High Card
6C 5H 6H JS 10D JD 9S ,    Two Pair
8D 2C 2D 4H 7H 3S AC ,    Pair
8S QD 2H 9D 6S 8C 2D ,    High Card
KD AD 8H KS KC 4C JC ,    Pair
4D 4H JD 5C 3D AS 6H ,    Pair
3S 6C 10D 6D KH 3C 7S ,    Pair
5S QD 10S AS 10D 5C 9C ,    High Card
2H JS KH 3H 6H 8C 2S ,    High Card
7S 5H JC 6D KC 9S 10H ,    High Card
6H JS 7S 7H 4S 7C 6S ,    Pair
3D JD 3H JH 8H 2S 9D ,    Pair
4C QD KC 4D AD 2C 10H ,    High Card
8S KS KH QS QC 5S KD ,    Two Pair
QD 4C AC 9S KC 9C 8D ,    High Card
7D 3S 2C 2D 8C 4H 6H ,    Pair
QH 4D 3C JD 10S 9H QC ,    High Card
4S 9D 9H 2C 2H 3S KC ,    Two Pair
10C 7S 7C 10D 2S QH 7D ,    Pair
AC 6C JC JS QD 5D KD ,    Pair
3D QS JH AH 8H 9S 4H ,    High Card
6D KD AC 9C 3D 2H 3S ,    High Card
5D QC 4D QS QD QH KC ,    Pair
AD JD 8C 7H 2D JH 4C ,    High Card
JS AS 10S 7S 3D 2S AC ,    High Card
KS QD 5S 9C KC 5C 3S ,    High Card
2D 9H JH KH 3D 9S 10D ,    High Card
7S 3H 6D 4S 6S 4C JC ,    High Card
QH AC JS 6H QS 10H 10S ,    High Card
2S 10D 7D 2D 8H 10H 6C ,    High Card
KS KD KH 9D 7C QS 10C ,    Three Kind
8S AD 2C 7H QD 6D 5D ,    High Card
9S JD 4C 4S 2C AS QC ,    Pair
7D 10H 6S 4D 3S 7H 9H ,    High Card
5S 5H QD 8D 7C 10S 5C ,    Pair
QH 9C 10C KS QS 2S JS ,    High Card
10D 4S QD 7C KS 9S 8C ,    High Card
JH 7H 3H QC 10H 8D KD ,    High Card
JC 5S KH QH 2S 8S 5C ,    High Card
3H 5S 6H 6S 9D 8C 8S ,    Two Pair
AD JS JD 2S 10C QS 8D ,    Pair
3C QH 2H AC KH 7H 10S ,    High Card
7D 5H 7C 6D KD 4S 10D ,    Pair
KH 2S 3C 4C QH 3H 6H ,    High Card
7D 3S 9D 5D 4D 6C 9S ,    Straight
QC AH JD 8D JC QD 8H ,    High Card
2S 4S 5D 6S 5C 8D AD ,    High Card
JC 10D AC 6D 10C 6C 7D ,    Pair
AH 4H KD 7C JD JS JH ,    Two Pair
10S QH KH 7H AS KS KC ,    High Card
3S 5H KS 4S QH 5C 2D ,    High Card
KC 6D 3H 6H JH 3C QC ,    High Card
JC 2H 5S AS 8C 9H AD ,    High Card
5D 8D 5C 3S 2D 7C 10H ,    Pair
JS 6H 7S 2C AS QS KH ,    High Card
5H QC 10D 7H QD 4D 4C ,    High Card
10S 7D 6C AC 6D JH 5S ,    High Card
8H JC 7D 4S 10H KH 8D ,    High Card
QC 5H 2C 6S 5C 6H 4C ,    High Card
7H 8C 2D 10C 10S 3H 4H ,    High Card
AS 10D 6D KS 9H 10S 3H ,    High Card
10C 9S QD JH 6S 5H 3D ,    High Card
10H 2D QC 7C KD 8S 5C ,    High Card
3S AH 6C 4S 4H 2C 7H ,    Pair
4S AD 8S KC QH 2D 10C ,    High Card
7H 3D QD 2C 7S 2S QS ,    High Card
JC 2H AC 8D 4H AS 7C ,    High Card
JC 8H JH 9H KS 10S 9S ,    Pair
2S QD 6D 8S 2D 5D 6H ,    High Card
5C 2H AS 6S 3C 4D QH ,    Straight
6C KC KD 10H 7C 9C AH ,    Pair
7H 10S 10H 5S 3D 2S 5D ,    High Card
AD 6D QH 5C 7S KD 9C ,    High Card
4C KC 2H AC 8H 7D 4H ,    High Card
JS 3S 5C QC 6H 8H 4C ,    High Card
4C 8C QS 10H KC 3S 6S ,    High Card
3H 3C AC 5H 7S 9C 5D ,    Pair
KD 4S 3D KS AS 10C 9D ,    High Card
10S 5C JH 4D 8H 2C 7C ,    High Card
AS 5H 2D 2H 5C JS AH ,    Pair
2S KS JC 4C KC 9H 7H ,    High Card
QH 3S 4S 2C 10H AC QD ,    High Card
10D 3H JS 7D 5D 3C 5H ,    High Card
9S 3D 6C 6H 6S 10H 6D ,    Three Kind
2S JD 8C AS QD KD 2H ,    High Card
QS 9H 10C 10S KS 2D 4C ,    High Card
10S JC 6S 2S 4S JD 4C ,    High Card
6C 3C 8S AC 4D 9S KC ,    High Card
5C 10C 8C 7H 10H KH JS ,    High Card
6C JH KS 6D QH 9C 5S ,    High Card
8D AD 7H 4C 6H 10C KD ,    High Card
9D AH KC QS 3D 8C 4D ,    High Card
8S 7S 9S 2H 5C 7C 6S ,    Straight
2S 3S KD 2C 6H 4S QH ,    High Card
QD 2H 10S JS 5S 3H QC ,    High Card
6D 9C 6C 9S 7S 4C KS ,    Pair
QC 10S 5D 8D JC 7H 3C ,    High Card
2D 4D 9D 5C KS 3H 8S ,    High Card
4H 9H JS 7D KD QS 10D ,    High Card
6C KC 10C 6H 3D 8H AS ,    Pair
9D 3S QH 3H JS 5C 3C ,    High Card
4C JH 2H QD 2S QS 2D ,    High Card
9H 10D 9C AC JC 5S 8H ,    Pair
4S 6H 9H 10H 9D AC 10D ,    Pair
10S JH KC QS AD 7H 4C ,    High Card
9S QC JC 9C 3S 5C 3C ,    High Card
5D 6C 10C 7D 7S 5H 2D ,    Pair
5D KC JH 6C 2H 4D 7D ,    High Card
AD 10D 3S 9S 10S 10H AS ,    High Card
3D 3H 8D 2D JC 5C QC ,    Pair
7S 2D KC 9H KD 6H 7D ,    High Card
JC JH 2H 9C 10D 10S 10H ,    Pair
3D 6D 8D 5C JS 8S 3H ,    High Card
QD AH 5D 3C AC QH 6S ,    High Card
4D 2S 4S 2H KC 5S 10D ,    Pair
9D 10C AH 6H 8C 7C 9S ,    High Card
6C 5H 2C 8S 7H KS 5C ,    High Card
10H 5S QS 2C 2D 2H 7C ,    Pair
3C QD AC 3D KC JH 9S ,    High Card
3H 8H 10C 6D 6H QH JC ,    Pair
KH JD 3S AD 9D 7D 5D ,    High Card
KH 3S QH 6C 2D JC JH ,    High Card
4D 9H QS QD AC KS 7C ,    Pair
7D 9C KC 8C 2H 6S 4C ,    High Card
QH JH QD KS AC 2S 5H ,    Pair
5C 3H 9H QS 10S 2D 6C ,    High Card
8D KS AC 7S 3D 2S KD ,    High Card
8S 6H 7H 2H 9C 3C 8C ,    High Card
AD QC 6S 4C KH JS JD ,    High Card
JC 9D 10S 5H 6S 2C 4D ,    High Card
9S KH KC 3H AS AC 8C ,    Two Pair
QD QH 5D 3S 7D 8H 3D ,    Pair
7H 4S 9C QH 6D AC 7S ,    High Card
3S JH 2C 3D 3C 10H 5D ,    Pair
QD 6S AS 5H 10S JD 7D ,    High Card
AD KH 5C JS QC KC AH ,    High Card
5C 8H 9H 10S 3S 3H AD ,    Pair
5H 4D 7S 7H 10C 6H 6C ,    Two Pair
10H KD 7D 6D 3C 3D 7C ,    Pair
6C QC 4S 10D 10H QH 4C ,    High Card
JD AH 6H 5C KH 2D JH ,    High Card
JC 7S AD 3D 8C QS KD ,    High Card
5D QD 4H AC 2S 8H 2H ,    High Card
7H 9S JH AC JC AH 7D ,    High Card
6H QC 3C 8S KS 6D 4S ,    High Card
10H 4D 5C 8C KD 7C JS ,    High Card
KH 5C 10C 4H 5S QC 7S ,    High Card
AC 6C 3H 2C 9S AH 3S ,    High Card
5H JD QS 2S KD 9C KS ,    High Card
6H JH 2D 6S 6D 3D QH ,    Pair
5C QD 3D JH 9S KD 9D ,    High Card
KC 4S 3S 7D 6C 4D 6D ,    High Card
10D 8C 2H 9H AH 8S KH ,    High Card
4D KH 3H 5S 6H 2D 7C ,    Straight
QS JS 10D JH 3C AC 4C ,    Pair
9C KS 8C QD QC 8S 5C ,    Pair
5H 2C 2S 5D 6D 10C 8D ,    Pair
5C JS KC 4H QH 9H 7D ,    High Card
4D 9C AS 7C JH AC AH ,    High Card
10S AD 3C 3D JC 8S KH ,    Pair
AD 5H 9C 8C 5D QH 6H ,    High Card
JC 4S JS 5C 7S QD 3H ,    Pair
6C AS 10S 7C 2S JH 10D ,    High Card
9H 2D 5S 8S AH 2C KC ,    High Card
4S 7H 9S 8H 9C KH 6D ,    High Card
6C KS 10H AD 2C 3S 6H ,    High Card
3H 7S 4D 9D 4H JD 5D ,    High Card
QC 3S 5S 8C 6S 9S 7H ,    Straight
8H 2C 4H 7D 3D 8D 2H ,    High Card
10S 9D 10C JH 2D AH 7S ,    High Card
3H 4D 8S JD 4C AC 5D ,    High Card
6D AS 8D 9D 4D 2H 7D ,    High Card
7S KC 8C QH QD 6C 10H ,    Pair
8S QS 6S 7C JD 4H JS ,    High Card
8C 6S KH 7H 5S 7S 6C ,    High Card
KH 7C 7D 7H 8H 9C AS ,    Pair
AH QC JC 10C 6C KD 7S ,    High Card
QD 6H 4H JD 4C 6S QH ,    High Card
8D QS 2H 2D 9D 4S 8C ,    Pair
9C 6S AC JS QC 4H 5H ,    High Card
KC KH KS 6D JD 7S 2S ,    Three Kind
8C 8D 2D JH 4S 10S 3S ,    Pair
9H AS JD 3S 10H 8C KS ,    High Card
KC QS QC 7S AH 2H QH ,    Pair
2D 7H 9D 9S KH 3H JS ,    Pair
4S 5D JH 5C 7D 6H 10S ,    High Card
KS KH 4D 7S 10S AS 2D ,    Pair
9C JS AD 6C 9H 3H AC ,    High Card
7C KC QD 3D 6D JD JC ,    High Card
4H 5C 4D 4S 10D 6H 6S ,    Two Pair
3H QC JS 10H KS 5S AS ,    High Card
QH 9D KD JC KH AH 3S ,    High Card
7D 2D 2S 6D QD 5D 8D ,    Pair
JH 9S 9C 9H 6D AH 3S ,    Pair
5S 10S 3D 10H 6H QH 8C ,    High Card
JS 10D 4C 2S 7S 4D 9D ,    High Card
3C 9S 7C 5H 3D JD 6C ,    High Card
10C JC 7H 2C 4D KS JH ,    High Card
9H 8H QC 6D 10D AS 6H ,    High Card
3H KD 5S KC 9D AH 8S ,    High Card
7S 8D 3C 10C QH 9C JS ,    High Card
KS 8C QC 9H 4S AS 2C ,    High Card
JC 4H 6D 2S 5H 10D AH ,    High Card
JS AH 9C 2H AS 4H KD ,    High Card
6C JC 3H AD 9H 9D 6D ,    Pair
5S 3C 7C 6S 3S 8H 2S ,    High Card
7S 3D 4C 2D JD 9S 10D ,    High Card
10S 9S KC 2H 7C 5C 8S ,    High Card
QH 5H 2C QD 4D 6C 9D ,    High Card
3C 6H 6D 10H JS QC QS ,    Two Pair
10S 6D 7C 6H 2D 10H 8H ,    High Card
7H 5S 4C 3H 9C KS 6C ,    Straight
8C AC 3D AD 5C 3C QC ,    High Card
7D JH 2H QH 6S 7S 4D ,    High Card
8S KS 7H 7C 3H 6S 5S ,    Pair
7D QC AH 6C 5D 2S JD ,    High Card
KD JS 2H 3C AC 5C 10S ,    High Card
8H JS 8C 2C JD AD 3C ,    Pair
6H 5C 9C JH 2S QS AS ,    High Card
KH 7H 10H 6C 5D 8D 2H ,    High Card
KS KD QC 5S AC JC KC ,    Pair
6C 2S 5D 9H KD 9S 7H ,    High Card
9D JC 7D 8C 5C 6H 10H ,    Straight
9C 10D 7C QD AC QC 4D ,    High Card
QH KD AD 3S 5H 2C 3C ,    High Card
3H 9D 3D 2C QH 10D JD ,    Pair
9S 10S KC QS 6C 9C 5D ,    High Card
5C AH KH 6D JH 5S AS ,    High Card
QC KD 10C 4S 2S 8H JC ,    High Card
KS 9S 5H 8S 2D AS 3S ,    High Card
9H QH 7C 8C QC AD JC ,    High Card
AH 2S 6D 6S JS 4C 7H ,    Pair
3D 6H 9C 5S 8S 3H 2D ,    High Card
6S 2C QS 3S JD 4C 6D ,    High Card
10C KC QD 9H 5C 8H QC ,    High Card
9S KH AC 5D 8C AH 2H ,    High Card
AH 7D 4S KC QH 2D 3H ,    High Card
9S 10H 10S 8D 8H 5C KH ,    Pair
2S JC 4C 8S 9C 10C KD ,    High Card
7S KD 4S 6D 4H 7H 7D ,    High Card
5S QH 3S AC 9D 6S JS ,    High Card
JH 6C QC 8C 2S 5C KH ,    High Card
AD 10S KC AS QS 7C 5H ,    High Card
KD 5C 2D 2S 6C 6H 2H ,    Two Pair
8D 5H AD 10C QS JC JH ,    High Card
4C 7S 10S AH 7D 9H KS ,    High Card
3D 10H JH 4H 8H 10C 4S ,    High Card
8S 9D 9S AS KD 9H 5S ,    Pair
JC KC 5H AD 9C 3C QD ,    High Card
6C AH 8C 6D 10S QC 5C ,    High Card
3S 5S 9C 4C 10D 7H AC ,    High Card
7C JC 2S 6C 6H AD 3D ,    Pair
10C 3H 5H 5D 9S JD JS ,    Two Pair
7D 8H 2C KS 6H 4D 8D ,    High Card
AS 3D QC 2S 7S 6C KD ,    High Card
KH 9S AD QD 6D 4S QS ,    High Card
AC 2D 7C 6S 7H AH 5C ,    High Card
AD 4D 6S 10D AH KD 10S ,    High Card
5H 10H 3H JD 7D 7S 2C ,    Pair
3S 2D 9D 6D QC KC 8D ,    High Card
6D 8D 7S AD 3H 3S 10S ,    Pair
10D 6S JS 9D JH 3C 7D ,    High Card
8H 2S 5S 8C 9S 4C AS ,    High Card
8S 2H AH QC JC QH 5H ,    High Card
8C 10S AD 9H 7S 4D 6S ,    High Card
7C 10D 6H KC KD 6D 7H ,    Pair
3S JC JH AS 6C KH 9S ,    Pair
9S 6S QC AS 3C 5H 4D ,    High Card
9C 5S 7C 5C 2D JS KC ,    High Card
7D 3D 8H 2H 3H 2S 2C ,    High Card
10H JD JC KH 9D AC 4C ,    Pair
AS 7H 4C 2D JD QC KC ,    High Card
JH 2C 5H KH 9D 10H 4S ,    High Card
5D 3H 5C KS 3S 6H JS ,    Pair
AC 5C 8C 10H 4D 2S 2D ,    High Card
7S KS JS QC 3S 5D QD ,    High Card
8S 10H 5C KC 2S 7C 8D ,    High Card
2C 9D 7D AH 6C 5H 5S ,    High Card
AD 3D 8C AC 9S 10C JH ,    High Card
8C 10D 7S 3S 6H QD 9C ,    High Card
10C KH JH 7D 6C QH 10S ,    High Card
2S 4C 6S JD 9S AS 6D ,    High Card
KH 2S AS JS KS 9S 7C ,    Flush
9C 3S 5C 8C JH 7S 6H ,    Straight
JD 6C 9H 8D 4H 4S 5S ,    Pair
2C KC 3C 2H 6S 10H 10C ,    High Card
10C 3C KC 2D 10D 9H 3H ,    High Card
7H QD 5D QC 5S 10H 4C ,    High Card
7D 9S 3S 4D JC AS 6C ,    High Card
2D 4D 8C 5S JH 4S 6C ,    High Card
10H 10S 8H 9S 3S 9C 2S ,    High Card
4H 10C JD QC 9H QD JS ,    High Card
6S 7D AH 4C 3H 7H 8D ,    High Card
7D 7C 4H AC KH 5S JC ,    Pair
6D 9H KS 8H 6C 4C 10C ,    High Card
KD 5D JD 7S 10S QS JH ,    High Card
AC 7C 7H JS 3C KD 4H ,    Pair
7S 10S 7D 4C QS 2S 8H ,    Pair
KH 4S 2D 3S 5D 9D 9C ,    High Card
6D 10H QC 10C AD 6C 6S ,    High Card
2H KS 5C 10H 4H 2S JS ,    High Card
8D KC 8C 8H 7H JH QS ,    Pair
KH KD 7C 9D AD AS 3C ,    Two Pair
8D 10S AD 5S 8S QH 10C ,    High Card
8C 2D 10D 3D QD 4D AH ,    High Card
5C JD 2C KC 4C 8H 5D ,    High Card
QS AC 2H 6H 7H 5H 10H ,    High Card
10D QS 5D 2H KC 10H QH ,    High Card
JS 10S 4S 7D 8H 9C 5C ,    High Card
JD JH QD 3H AD 4C AS ,    Pair
8C 5D QH QC 2S 2D 4C ,    Two Pair
10C 8S 2H 3H 7D KS JS ,    High Card
6H JH KH KD 6C 9D AH ,    Pair
4H 4D 3C 5C 6S 7C 10S ,    Straight
6D 7C AH 3C 3D 3H 2D ,    Pair
JS JH 9S 9D 2H KC 5C ,    Two Pair
JD AD 10S 4C QS 7H KS ,    High Card
10S 4D 7D 10H 8D 5D 3S ,    High Card
KH QD JC 10D QH 4S 2S ,    High Card
QS 2D 4C AD 8S 10C JH ,    High Card
8C JD 5C 3C 3D 5S 2H ,    Pair
7H AD 4H 7C JS 2C 10S ,    High Card
9S 2H KC 3C 3S 4D 6C ,    Pair
AH JD 5D 10H QH AS KS ,    High Card
5C 10C JS 8C 9C 8D JD ,    High Card
QS JC 9C 6C 2D 4C 3D ,    High Card
AC AD 4D 4H KD 5H 8D ,    Two Pair
5C 10S 7S 8S 9D 7H 6H ,    Straight
QC 5D KH 8H 10H 5S AS ,    High Card
9C QD 8S JS KD 7S 10S ,    High Card
QS 8C 4S AS 5C 8D 9S ,    High Card
JD 5D JH AD KH 10C 10H ,    Two Pair
5S 9D KD 6C KS JD JH ,    High Card
8H 10D 10S 4D 2H 7C 2S ,    High Card
KH 7H 4C 8S 10C 5D AH ,    High Card
JC AC JS 6D 4S 8C KC ,    Pair
JS 8C 5C 7C QH 3H 3C ,    High Card
KC AD 4C KS 10S JD JC ,    High Card
5D KH 2H 2D 3D 7H 6C ,    Pair
4C JH 4S 5C KD 9C QH ,    Pair
2H QC 10C 6H 7S 6C JS ,    High Card
4D 9S 7H 3C JC 10D JD ,    Pair
7C 10H 4H QD KH AH QS ,    High Card
8S 6C 5H 2C 10C AC 7S ,    High Card
9S 4D 3C QS 5C AH AD ,    High Card
2H 9D 3D QD 9C 9H 5S ,    Pair
JH 5D QH 6H 2S 2C 5S ,    Pair
5H 6S QD 2H 8H 7D KH ,    High Card
JC 3D 7S 9D 9C 8S AH ,    Pair
10S JS 5C 8C AC QS 9H ,    High Card
AC 4D 9D QS 5C 9H 5S ,    High Card
KC QC 3D 4H 8C 10S JH ,    High Card
6H QH 8S 2H 5H 7D JS ,    High Card
5D 8H KC 2H 2S 10C 7S ,    Pair
5S JC 2D KH JD AH KD ,    High Card
2C 4C QC 6C QH AC AD ,    Flush
5H 9D AS 8D 6D JS 9S ,    High Card
9D JS 8S 2S 4H 3S 6S ,    High Card
QH 10S JD 7H KC AC 2H ,    High Card
3C 9C 5S 4C 2C 7C 10C ,    High Card
8D 3H QD 2H 7H 9S 2S ,    High Card
10S 8C 3S 7C 6C 9D AH ,    High Card
5C AS 7S KS 6S 9C KD ,    High Card
2D 3D 8S 8H 4C JC 10H ,    Pair
2C 10D AH 7H 9D 4C 8C ,    High Card
10H 10S JS 7C KS 8D QC ,    High Card
KC 7S 4D 6C 5C 4S 6S ,    High Card
8D AS 5S 6D 10H AC JD ,    High Card
QH KD 3H 7D 10D 4H 9H ,    High Card
KS 5D 6H 2S 6S 7S 3S ,    High Card
JS 3C 2D 2H 7C 7H 10S ,    Two Pair
6H 5C 9H QH 10C AH 2D ,    High Card
QS KH KS 4C JC 4D 9D ,    Pair
AD AS 4H 6C 5H 7D 3C ,    Straight
KD 6C 10S 2H 3H 6H 5C ,    High Card
6S 9H AS 10H 8H AD 10S ,    High Card
7H 9D 6C KC JD 4C 3S ,    High Card
3H 7D 2D 3C 5C 9C 7S ,    High Card
5H 7C 2H QH JH 5S 5D ,    High Card
JD 6D AC 5C JS JH KH ,    Pair
AS 6S KC 3D 2C QD 4S ,    High Card
8H 9D 9C 8S 8D AD 3C ,    Two Pair
2H 9S QS 3D 5H 4C KH ,    High Card
AD KS JS 7C 5D QD 5C ,    High Card
6D 9H 4S KC 8C 6H 2D ,    High Card
6S 4H 10D 3H JD 4D 2S ,    High Card
2H JD 4H KD 5S 2C AD ,    High Card
10D 8D 7D JS 6H 5D 7S ,    High Card
AH 10S KH 3C 8H 5H JC ,    High Card
8D JS 10S 7D 9H AC 10C ,    High Card
9C QC KD QD 5C 2S 7S ,    High Card
9S 10H 9D 8H JC 6C 5H ,    Pair
6D QH 10D 2C KC 6H KS ,    High Card
AH KD 3H 4S 4D 5D 9S ,    Pair
6H 10D JH 2S 8H 2D 8S ,    High Card
10C AS 6D 3D JD JC 9C ,    Pair
JC 9C KC 3C AS JD 8D ,    Flush
7C 3S 4D 3H 9S 5C 4H ,    High Card
10H 4C QC 6H 2D 5D 10S ,    High Card
8C QS 9D 7D AH AC 3D ,    Pair
2C KH JD 3C AH AD 7H ,    Pair
7C QC KD 10C QH 6H 10H ,    High Card
9D 6S 7S 8D AC 6D 2H ,    High Card
7D QS 5H 9H 10C 2S JH ,    High Card
6D 3H 3S 4C 9S 7S 6C ,    Pair
8H 6H QD AH 9C JC QH ,    High Card
4S 7H 2C KD 10H AC 10S ,    High Card
5C 9D 10C QS KH KC JD ,    Pair
10H 2S JH 9S 9H 3H AH ,    Pair
JC 10D 6S KS 6H AD QD ,    High Card
6S 3S 9S 9H 8S 4D 3D ,    Pair
10D 7D 2S AD AS 6H AC ,    Pair
AH QH 8D QS 2C KH 7S ,    High Card
8H 7H 6D 4H 5D 5S JS ,    Straight
QD JS QC QS 2S 4S 6D ,    Pair
6H KH KD 8C 8D AC JD ,    Two Pair
5D 9H 4D 2C 9S AS 10D ,    High Card
10C JC 2D 9C 3C 6S 3D ,    High Card
9H AC 6C 8D 7C 6D KS ,    High Card
2H 8C KH 10S 9D 9S 7H ,    Pair
QS 4S QC KC 7S AS JS ,    Pair
7C 8S JS AS 2D QC AH ,    High Card
9S 5D JH 5S 9H 9C 10D ,    Pair
QH JD KC 3C JC 3D 2C ,    High Card
3S KC 4S 7D 7C 9C 8S ,    Pair
5S 4C 9D 7C 6H 9H JD ,    High Card
AH 7S 4H 7H 10S 3H QC ,    High Card
6D 7D 8D 2H 10C KH 10D ,    High Card
3D 8S 3C QH KS AD 2S ,    Pair
5C 9S 3S 9H 4S 2S 10D ,    High Card
KH 4H AH 6S JC 8C 6C ,    High Card
JS JD 4C 7H 7C 5D 8H ,    Two Pair
8D 5S QD 7C KD 8S 6H ,    High Card
2H 2S 4D 6D 5D AH 10D ,    Pair
